Wake-up Date,"Day caffeine?    (1 = Yes, 0 = No)","Night caffeine?  (1 = Yes, 0 = No)",Minutes of day napping,Minutes to fall asleep,Bed-time       (24-hour time),Wake-up time           (24 -hour time),"Alarm?               (1 = Yes, 0 = No)",minutes awakened during night,SSI
8/24/2023,0,0,0,60,2:30,7:00,1,0,2
8/25/2023,1,0,0,4,22:40,7:22,1,0,2
8/26/2023,1,1,0,3,0:54,15:31,1,0,3
8/27/2023,1,0,0,4,5:34,10:01,1,0,2
8/28/2023,1,0,0,20,2:42,7:22,1,0,4
8/29/2023,1,0,282,15,2:32,6:06,1,0,4
8/30/2023,1,1,0,10,2:10,8:09,1,0,3
8/31/2023,1,0,0,20,0:40,8:04,1,0,2
9/1/2023,1,0,0,5,0:30,10:30,0,0,2
9/2/2023,1,1,0,5,0:30,8:20,0,0,2
9/3/2023,1,1,0,2,1:30,4:24,0,56,5
9/4/2023,1,1,0,4,1:20,7:25,0,35,4
9/5/2023,1,1,0,15,0:40,6:30,1,0,4
9/6/2023,1,0,0,10,0:52,10:30,0,0,3
9/7/2023,1,0,0,8,23:40,7:30,1,0,3
9/8/2023,1,0,0,20,2:30,9:50,0,0,2
9/9/2023,1,0,0,10,1:20,8:40,1,0,2
9/10/2023,1,0,0,5,5:40,12:10,0,0,3
9/11/2023,1,0,0,4,0:40,10:30,0,20,2
9/12/2023,1,0,0,3,1:20,7:12,1,0,4
9/13/2023,1,1,140,30,4:50,12:20,1,0,2
